candidate,office,district,party,county,precinct,votes,winner,page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Pleasant Hill North,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Pleasant Hill North,40,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Pleasant Hill North,8,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Pleasant Hill North,1682,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Pleasant Hill North,425,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Pleasant Hill North,26,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Pleasant Hill North,67,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Southaven North,503,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Southaven North,1151,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Southaven North,16,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Southaven North,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Southaven North,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Southaven North,43,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Southaven North,12,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Southaven North,1122,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Southaven North,438,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Southaven North,30,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Southaven North,66,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Southaven South,467,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Southaven South,210,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Southaven South,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Southaven South,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Southaven South,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Southaven South,8,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Southaven South,7,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Southaven South,218,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Southaven South,428,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Southaven South,19,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Southaven South,19,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Southaven West,714,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Southaven West,801,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Southaven West,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Southaven West,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Southaven West,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Southaven West,31,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Southaven West,10,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Southaven West,762,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Southaven West,644,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Southaven West,34,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Southaven West,55,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Summershill,569,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Summershill,1517,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Summershill,7,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Summershill,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Summershill,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Summershill,42,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Summershill,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Summershill,1486,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Summershill,448,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Summershill,30,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Summershill,66,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,Walls,717,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,Walls,1028,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,Walls,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,Walls,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,Walls,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,Walls,27,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,Walls,14,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,Walls,1029,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,Walls,630,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,Walls,27,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,Walls,49,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,DeSoto,,20591,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,DeSoto,,43089,TRUE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrell Castle,President,,Constitution,DeSoto,,335,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky' Roque De La Fuente,President,,American Delta,DeSoto,,31,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hedges,President,,Prohibition,DeSoto,,12,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Johnson,President,,Libertarian,DeSoto,,1329,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Stein,President,,Green,DeSoto,,308,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S.House,1,Republican,DeSoto,,42838,TRUE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S.House,1,Democrat,DeSoto,,17972,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathy L. Toole,U.S.House,1,Reform,DeSoto,,920,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Wilson,U.S.House,1,Libertarian,DeSoto,,1856,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love,Miller,Mineral Wells,Nesbit East,Nesbit West,Northwest Community College,Olive Branch North,Olive Branch South,Olive Branch West,Pleasant Hill North,Southaven North,Southaven South,Southaven West,Summershill,Walls
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love,Miller,Mineral Wells,Nesbit East,Nesbit West,Northwest Community College,Olive Branch North,Olive Branch South,Olive Branch West,Pleasant Hill North,Southaven North,Southaven South,Southaven West,Summershill,Walls
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love,Miller,Mineral Wells,Nesbit East,Nesbit West,Northwest Community College,Olive Branch North,Olive Branch South,Olive Branch West,Pleasant Hill North,Southaven North,Southaven South,Southaven West,Summershill,Walls
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love,Miller,Mineral Wells,Nesbit East,Nesbit West,Northwest Community College,Olive Branch North,Olive Branch South,Olive Branch West,Pleasant Hill North,Southaven North,Southaven South,Southaven West,Summershill,Walls
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love,Miller,Mineral Wells,Nesbit East,Nesbit West,Northwest Community College,Olive Branch North,Olive Branch South,Olive Branch West,Pleasant Hill North,Southaven North,Southaven South,Southaven West,Summershill,Walls
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love,Miller,Mineral Wells,Nesbit East,Nesbit West,Northwest Community College,Olive Branch North,Olive Branch South,Olive Branch West,Pleasant Hill North,Southaven North,Southaven South,Southaven West,Summershill,Walls
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love,Miller,Mineral Wells,Nesbit East,Nesbit West,Northwest Community College,Olive Branch North,Olive Branch South,Olive Branch West,Pleasant Hill North,Southaven North,Southaven South,Southaven West,Summershill,Walls
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love,Miller,Mineral Wells,Nesbit East,Nesbit West,Northwest Community College,Olive Branch North,Olive Branch South,Olive Branch West,Pleasant Hill North,Southaven North,Southaven South,Southaven West,Summershill,Walls
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love,Miller,Mineral Wells,Nesbit East,Nesbit West,Northwest Community College,Olive Branch North,Olive Branch South,Olive Branch West,Pleasant Hill North,Southaven North,Southaven South,Southaven West,Summershill,Walls
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love,Miller,Mineral Wells,Nesbit East,Nesbit West,Northwest Community College,Olive Branch North,Olive Branch South,Olive Branch West,Pleasant Hill North,Southaven North,Southaven South,Southaven West,Summershill,Walls
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love,Miller,Mineral Wells,Nesbit East,Nesbit West,Northwest Community College,Olive Branch North,Olive Branch South,Olive Branch West,Pleasant Hill North,Southaven North,Southaven South,Southaven West,Summershill,Walls
