candidate,office,district,party,county,precinct,votes
Brock Pierce,President,,IND,Hinds,Precinct 08,0
Kanye West,President,,IND,Hinds,Precinct 08,2
Mike Espy,U.S. Senate,,D,Hinds,Precinct 08,408
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Precinct 08,203
Jimmy L Edwards,U.S. Senate,,L,Hinds,Precinct 08,14
Dorothy Dot Benford,U.S. House,3,D,Hinds,Precinct 08,324
Michael Guest,U.S. House,3,R,Hinds,Precinct 08,277
Joseph R. Biden,President,,D,Hinds,Precinct 09,542
Donald J. Trump,President,,R,Hinds,Precinct 09,343
Don Blankenship,President,,AC,Hinds,Precinct 09,2
Brian Carroll,President,,AS,Hinds,Precinct 09,6
Phil Collins,President,,IND,Hinds,Precinct 09,2
Howie Hawkins,President,,G,Hinds,Precinct 09,1
Jo Jorgensen,President,,L,Hinds,Precinct 09,25
Brock Pierce,President,,IND,Hinds,Precinct 09,1
Kanye West,President,,IND,Hinds,Precinct 09,4
Mike Espy,U.S. Senate,,D,Hinds,Precinct 09,571
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Precinct 09,348
Jimmy L Edwards,U.S. Senate,,L,Hinds,Precinct 09,12
Dorothy Dot Benford,U.S. House,3,D,Hinds,Precinct 09,389
Michael Guest,U.S. House,3,R,Hinds,Precinct 09,511
Joseph R. Biden,President,,D,Hinds,Precinct 10,216
Donald J. Trump,President,,R,Hinds,Precinct 10,3
Don Blankenship,President,,AC,Hinds,Precinct 10,0
Brian Carroll,President,,AS,Hinds,Precinct 10,0
Phil Collins,President,,IND,Hinds,Precinct 10,1
Howie Hawkins,President,,G,Hinds,Precinct 10,0
Jo Jorgensen,President,,L,Hinds,Precinct 10,0
Brock Pierce,President,,IND,Hinds,Precinct 10,0
Kanye West,President,,IND,Hinds,Precinct 10,2
Mike Espy,U.S. Senate,,D,Hinds,Precinct 10,219
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Precinct 10,1
Jimmy L Edwards,U.S. Senate,,L,Hinds,Precinct 10,1
Brian Flowers,U.S. House,2,R,Hinds,Precinct 10,2
Bennie G Thompson,U.S. House,2,D,Hinds,Precinct 10,220
Joseph R. Biden,President,,D,Hinds,Precinct 11,300
Donald J. Trump,President,,R,Hinds,Precinct 11,4
Don Blankenship,President,,AC,Hinds,Precinct 11,0
Brian Carroll,President,,AS,Hinds,Precinct 11,0
Phil Collins,President,,IND,Hinds,Precinct 11,0
Howie Hawkins,President,,G,Hinds,Precinct 11,0
Jo Jorgensen,President,,L,Hinds,Precinct 11,0
Brock Pierce,President,,IND,Hinds,Precinct 11,0
Kanye West,President,,IND,Hinds,Precinct 11,2
Mike Espy,U.S. Senate,,D,Hinds,Precinct 11,304
Cindy Hyde-Smith,U.S. Senate,,R,Hinds,Precinct 11,3
Jimmy L Edwards,U.S. Senate,,L,Hinds,Precinct 11,1
Brian Flowers,U.S. House,2,R,Hinds,Precinct 11,9
Bennie G Thompson,U.S. House,2,D,Hinds,Precinct 11,297
Joseph R. Biden,President,,D,Hinds,Precinct 13,770
Donald J. Trump,President,,R,Hinds,Precinct 13,24
Don Blankenship,President,,AC,Hinds,Precinct 13,1
Brian Carroll,President,,AS,Hinds,Precinct 13,0
Phil Collins,President,,IND,Hinds,Precinct 13,0
Howie Hawkins,President,,G,Hinds,Precinct 13,2
