candidate,office,district,party,county,precinct,votes,winner,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,11
Chris Christie,President,,Republican,Itawamba,Mantachie,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Mantachie,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Mantachie,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Mantachie,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Mantachie,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Mantachie,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Mantachie,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Mantachie,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Mantachie,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Mantachie,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Mantachie,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Mantachie,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Mantachie,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Mantachie,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Mantachie,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Mantachie,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Mantachie,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Mantachie,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Mantachie,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Mantachie 3D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Mantachie 3D,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Mantachie 3D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Mantachie 3D,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Mantachie 3D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Mantachie 3D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Mantachie 3D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Mantachie 3D,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Mantachie 3D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Mantachie 3D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Mantachie 3D,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Mantachie 3D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Mantachie 3D,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Mantachie 3D,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Mantachie 3D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Mantachie 3D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Mantachie 3D,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Mantachie 3D,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Mantachie 3D,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Mantachie 3D,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Mantachie 3D,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Ratliff,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Ratliff,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Ratliff,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Ratliff,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Ratliff,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Ratliff,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Ratliff,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Ratliff,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Ratliff,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Ratliff,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Ratliff,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Ratliff,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Ratliff,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Ratliff,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Ratliff,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Ratliff,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Ratliff,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Ratliff,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Ratliff,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Ratliff,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Ratliff,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Ryan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Ryan,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Ryan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Ryan,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Ryan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Ryan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Ryan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Ryan,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Ryan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Ryan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Ryan,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Ryan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Ryan,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Ryan,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Ryan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Ryan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Ryan,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Ryan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Ryan,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Ryan,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Ryan,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Salem - Copeland,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Salem - Copeland,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Salem - Copeland,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Salem - Copeland,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Salem - Copeland,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Salem - Copeland,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Salem - Copeland,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Salem - Copeland,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Salem - Copeland,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Salem - Copeland,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Salem - Copeland,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Salem - Copeland,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Salem - Copeland,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Salem - Copeland,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Salem - Copeland,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Salem - Copeland,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Salem - Copeland,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Salem - Copeland,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Salem - Copeland,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Salem - Copeland,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Salem - Copeland,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Tilden,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Tilden,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Tilden,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Tilden,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Tilden,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Tilden,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Tilden,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Tilden,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Tilden,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Tilden,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Tilden,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Tilden,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Tilden,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Tilden,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Tilden,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Tilden,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Tilden,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Tilden,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Tilden,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Tilden,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Tilden,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,Tremont,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,Tremont,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,Tremont,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,Tremont,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,Tremont,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,Tremont,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,Tremont,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,Tremont,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,Tremont,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,Tremont,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,Tremont,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,Tremont,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,Tremont,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,Tremont,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,Tremont,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,Tremont,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,Tremont,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,Tremont,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,Tremont,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,Tremont,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,Tremont,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeb Bush,President,,Republican,Itawamba,TOTAL,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Carson,President,,Republican,Itawamba,TOTAL,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Itawamba,TOTAL,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Itawamba,TOTAL,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Itawamba,TOTAL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Itawamba,TOTAL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Itawamba,TOTAL,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Itawamba,TOTAL,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Itawamba,TOTAL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Itawamba,TOTAL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Itawamba,TOTAL,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Itawamba,TOTAL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Itawamba,TOTAL,1949,WINNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Itawamba,TOTAL,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Itawamba,TOTAL,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Itawamba,TOTAL,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Itawamba,TOTAL,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Itawamba,TOTAL,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Clever,U.S. House,1,Republican,Itawamba,TOTAL,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,U.S. House,1,Republican,Itawamba,TOTAL,3854,WINNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Owens,U.S. House,1,Democrat,Itawamba,TOTAL,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
