candidate,office,district,party,county,precinct,votes,winner,,,,,,,,,,,,,,,,,,,,,,,2
Ben Carson,President,,Republican,Jefferson Davis,Total,24,,,,,,,,,,,,,,,,,,,,,,,,
Chris Christie,President,,Republican,Jefferson Davis,Total,3,,,,,,,,,,,,,,,,,,,,,,,,
Ted Cruz,President,,Republican,Jefferson Davis,Total,418,,,,,,,,,,,,,,,,,,,,,,,,
Carly Florina,President,,Republican,Jefferson Davis,Total,0,,,,,,,,,,,,,,,,,,,,,,,,
Lindsey Graham,President,,Republican,Jefferson Davis,Total,0,,,,,,,,,,,,,,,,,,,,,,,,
Mike Huckabee,President,,Republican,Jefferson Davis,Total,1,,,,,,,,,,,,,,,,,,,,,,,,
John R. Kasich,President,,Republican,Jefferson Davis,Total,70,,,,,,,,,,,,,,,,,,,,,,,,
George Pataki,President,,Republican,Jefferson Davis,Total,0,,,,,,,,,,,,,,,,,,,,,,,,
Rand Paul,President,,Republican,Jefferson Davis,Total,0,,,,,,,,,,,,,,,,,,,,,,,,
Marco Rubio,President,,Republican,Jefferson Davis,Total,54,,,,,,,,,,,,,,,,,,,,,,,,
Rick Santorum,President,,Republican,Jefferson Davis,Total,2,,,,,,,,,,,,,,,,,,,,,,,,
Donald J. Trump,President,,Republican,Jefferson Davis,Total,764,,,,,,,,,,,,,,,,,,,,,,,,
Hillary Clinton,President,,Democrat,Jefferson Davis,Total,1806,WINNER,,,,,,,,,,,,,,,,,,,,,,,
"Roque ""Rocky"" De Le Fuente",President,,Democrat,Jefferson Davis,Total,0,,,,,,,,,,,,,,,,,,,,,,,,
Martin O'Mailey,President,,Democrat,Jefferson Davis,Total,5,,,,,,,,,,,,,,,,,,,,,,,,
Bernie Sanders,President,,Democrat,Jefferson Davis,Total,190,,,,,,,,,,,,,,,,,,,,,,,,
Willie Wilson,President,,Democrat,Jefferson Davis,Total,15,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Giles,U.S. House,3,Republican,Jefferson Davis,Total,158,,,,,,,,,,,,,,,,,,,,,,,,
Greg Harper,U.S. House,3,Republican,Jefferson Davis,Total,1120,WINNER,,,,,,,,,,,,,,,,,,,,,,,
Dennis C.Quinn,U.S. House,3,Democrat,Jefferson Davis,Total,1096,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Stewart,U.S. House,3,Democrat,Jefferson Davis,Total,596,,,,,,,,,,,,,,,,,,,,,,,,
