county,precinct,office,district,candidate,party,votes,winner
Jasper,Vossburg,Lieutenant Governor,,Tate Reeves,R,76,
Jasper,Vossburg,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,104,
Jasper,Bay Springs Beat 3,Lieutenant Governor,,Tate Reeves,R,398,
Jasper,Bay Springs Beat 3,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,117,
Jasper,Louin,Lieutenant Governor,,Tate Reeves,R,273,
Jasper,Louin,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,121,
Jasper,Montrose,Lieutenant Governor,,Tate Reeves,R,158,
Jasper,Montrose,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,41,
Jasper,Bay Springs Beat 4,Lieutenant Governor,,Tate Reeves,R,436,
Jasper,Bay Springs Beat 4,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,172,
Jasper,Stringer,Lieutenant Governor,,Tate Reeves,R,670,
Jasper,Stringer,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,57,
Jasper,Heidelberg Beat 5,Lieutenant Governor,,Tate Reeves,R,259,
Jasper,Heidelberg Beat 5,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,267,
Jasper,Claiborne,Lieutenant Governor,,Tate Reeves,R,140,
Jasper,Claiborne,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,76,
Jasper,Philadelphia,Lieutenant Governor,,Tate Reeves,R,120,
Jasper,Philadelphia,Lieutenant Governor,,Tracella Lou O'Hara Hill,Reform,72,
Jasper,Beat 1 Antioch 2 Judicial,Secretary of State,,Delbert Hosemann,R,224,
Jasper,Beat 1 Holders - Waldrup 1,Secretary of State,,Delbert Hosemann,R,68,
Jasper,Beat 1 Holders - Waldrup 2,Secretary of State,,Delbert Hosemann,R,283,
Jasper,Moss First,Secretary of State,,Delbert Hosemann,R,33,
Jasper,Moss Second,Secretary of State,,Delbert Hosemann,R,482,
Jasper,Palestine,Secretary of State,,Delbert Hosemann,R,34,
Jasper,Paulding,Secretary of State,,Delbert Hosemann,R,417,
Jasper,Fellowship,Secretary of State,,Delbert Hosemann,R,63,
Jasper,Midway,Secretary of State,,Delbert Hosemann,R,154,
Jasper,Rose Hill,Secretary of State,,Delbert Hosemann,R,257,
Jasper,Vossburg,Secretary of State,,Delbert Hosemann,R,131,
Jasper,Bay Springs Beat 3,Secretary of State,,Delbert Hosemann,R,459,
Jasper,Louin,Secretary of State,,Delbert Hosemann,R,337,
Jasper,Montrose,Secretary of State,,Delbert Hosemann,R,177,
Jasper,Bay Springs Beat 4,Secretary of State,,Delbert Hosemann,R,536,
Jasper,Stringer,Secretary of State,,Delbert Hosemann,R,701,
Jasper,Heidelberg Beat 5,Secretary of State,,Delbert Hosemann,R,394,
Jasper,Claiborne,Secretary of State,,Delbert Hosemann,R,175,
Jasper,Philadelphia,Secretary of State,,Delbert Hosemann,R,157,
Jasper,Beat 1 Antioch 2 Judicial,State Auditor,,Stacey E. Pickering,R,219,
Jasper,Beat 1 Antioch 2 Judicial,State Auditor,,Ashley Norwood,Reform,19,
Jasper,Beat 1 Holders - Waldrup 1,State Auditor,,Stacey E. Pickering,R,50,
Jasper,Beat 1 Holders - Waldrup 1,State Auditor,,Ashley Norwood,Reform,37,
Jasper,Beat 1 Holders - Waldrup 2,State Auditor,,Stacey E. Pickering,R,245,
Jasper,Beat 1 Holders - Waldrup 2,State Auditor,,Ashley Norwood,Reform,75,
Jasper,Moss First,State Auditor,,Stacey E. Pickering,R,34,
Jasper,Moss First,State Auditor,,Ashley Norwood,Reform,1,
Jasper,Moss Second,State Auditor,,Stacey E. Pickering,R,433,
Jasper,Moss Second,State Auditor,,Ashley Norwood,Reform,80,
Jasper,Palestine,State Auditor,,Stacey E. Pickering,R,24,
Jasper,Palestine,State Auditor,,Ashley Norwood,Reform,28,
Jasper,Paulding,State Auditor,,Stacey E. Pickering,R,278,
Jasper,Paulding,State Auditor,,Ashley Norwood,Reform,228,
Jasper,Fellowship,State Auditor,,Stacey E. Pickering,R,56,
Jasper,Fellowship,State Auditor,,Ashley Norwood,Reform,12,
Jasper,Midway,State Auditor,,Stacey E. Pickering,R,108,
Jasper,Midway,State Auditor,,Ashley Norwood,Reform,78,
Jasper,Rose Hill,State Auditor,,Stacey E. Pickering,R,204,
Jasper,Rose Hill,State Auditor,,Ashley Norwood,Reform,80,
Jasper,Vossburg,State Auditor,,Stacey E. Pickering,R,74,
Jasper,Vossburg,State Auditor,,Ashley Norwood,Reform,102,
Jasper,Bay Springs Beat 3,State Auditor,,Stacey E. Pickering,R,387,
Jasper,Bay Springs Beat 3,State Auditor,,Ashley Norwood,Reform,119,
Jasper,Louin,State Auditor,,Stacey E. Pickering,R,273,
Jasper,Louin,State Auditor,,Ashley Norwood,Reform,111,
Jasper,Montrose,State Auditor,,Stacey E. Pickering,R,145,
Jasper,Montrose,State Auditor,,Ashley Norwood,Reform,51,
Jasper,Bay Springs Beat 4,State Auditor,,Stacey E. Pickering,R,427,
Jasper,Bay Springs Beat 4,State Auditor,,Ashley Norwood,Reform,175,
Jasper,Stringer,State Auditor,,Stacey E. Pickering,R,666,
Jasper,Stringer,State Auditor,,Ashley Norwood,Reform,63,
Jasper,Heidelberg Beat 5,State Auditor,,Stacey E. Pickering,R,252,
Jasper,Heidelberg Beat 5,State Auditor,,Ashley Norwood,Reform,261,
Jasper,Claiborne,State Auditor,,Stacey E. Pickering,R,143,
Jasper,Claiborne,State Auditor,,Ashley Norwood,Reform,72,
Jasper,Philadelphia,State Auditor,,Stacey E. Pickering,R,102,
Jasper,Philadelphia,State Auditor,,Ashley Norwood,Reform,90,
Jasper,Beat 1 Antioch 2 Judicial,State Treasurer,,Connie Moran,D,51,
Jasper,Beat 1 Antioch 2 Judicial,State Treasurer,,Lynn Fitch,R,183,
Jasper,Beat 1 Antioch 2 Judicial,State Treasurer,,Shawn O'Hara,Reform,7,
Jasper,Beat 1 Holders - Waldrup 1,State Treasurer,,Connie Moran,D,114,
Jasper,Beat 1 Holders - Waldrup 1,State Treasurer,,Lynn Fitch,R,21,
Jasper,Beat 1 Holders - Waldrup 1,State Treasurer,,Shawn O'Hara,Reform,8,
Jasper,Beat 1 Holders - Waldrup 2,State Treasurer,,Connie Moran,D,146,
Jasper,Beat 1 Holders - Waldrup 2,State Treasurer,,Lynn Fitch,R,182,
Jasper,Beat 1 Holders - Waldrup 2,State Treasurer,,Shawn O'Hara,Reform,13,
Jasper,Moss First,State Treasurer,,Connie Moran,D,3,
