page,candidate,office,district,party,county,precinct,votes
5,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Scott,Beat 3/Cooperville/Spring,417
8,Mike Marlow,State Senate,31,D,Scott,Beat 3/Cooperville/Spring,38
8,Tyler McCaughn,State Senate,31,R,Scott,Beat 3/Cooperville/Spring,428
8,Vance Cox,State House,75,R,Scott,Beat 3/Cooperville/Spring,221
8,Tom Miles,State House,75,D,Scott,Beat 3/Cooperville/Spring,247
8,Joe C Bradford,State House,78,D,Scott,Beat 3/Cooperville/Spring,x
8,Randal 'Randy' Rushing,State House,78,R,Scott,Beat 3/Cooperville/Spring,x
2,Jim Hood,Governor,,D,Scott,Beat 3/Eastwest Morton,375
2,Tate Reeves,Governor,,R,Scott,Beat 3/Eastwest Morton,391
2,Bob Hickingbottom,Governor,,C,Scott,Beat 3/Eastwest Morton,4
2,David R Singletary,Governor,,IND,Scott,Beat 3/Eastwest Morton,5
2,Delbert Hosemann,Lieutenant Governor,,R,Scott,Beat 3/Eastwest Morton,452
2,Jay Hughes,Lieutenant Governor,,D,Scott,Beat 3/Eastwest Morton,313
2,Johnny DuPree,Secretary of State,,D,Scott,Beat 3/Eastwest Morton,326
2,Michael Watson,Secretary of State,,R,Scott,Beat 3/Eastwest Morton,439
2,Jennifer Riley Collins,Attorney General,,D,Scott,Beat 3/Eastwest Morton,318
2,Lynn Fitch,Attorney General,,R,Scott,Beat 3/Eastwest Morton,451
2,Shad White,State Auditor,,R,Scott,Beat 3/Eastwest Morton,602
5,Addie Lee Green,State Treasurer,,D,Scott,Beat 3/Eastwest Morton,290
5,David McRae,State Treasurer,,R,Scott,Beat 3/Eastwest Morton,471
5,Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Scott,Beat 3/Eastwest Morton,302
5,Andy Gipson,Commissioner of Agriculture & Commerce,,R,Scott,Beat 3/Eastwest Morton,464
8,Mike Marlow,State Senate,31,D,Scott,Beat 3/Eastwest Morton,299
8,Tyler McCaughn,State Senate,31,R,Scott,Beat 3/Eastwest Morton,466
8,Vance Cox,State House,75,R,Scott,Beat 3/Eastwest Morton,207
8,Tom Miles,State House,75,D,Scott,Beat 3/Eastwest Morton,561
8,Joe C Bradford,State House,78,D,Scott,Beat 3/Eastwest Morton,x
8,Randal 'Randy' Rushing,State House,78,R,Scott,Beat 3/Eastwest Morton,x
3,Jim Hood,Governor,,D,Scott,Beat 3/Northwest Forest,40
3,Tate Reeves,Governor,,R,Scott,Beat 3/Northwest Forest,65
3,Bob Hickingbottom,Governor,,C,Scott,Beat 3/Northwest Forest,0
3,David R Singletary,Governor,,IND,Scott,Beat 3/Northwest Forest,1
3,Delbert Hosemann,Lieutenant Governor,,R,Scott,Beat 3/Northwest Forest,76
3,Jay Hughes,Lieutenant Governor,,D,Scott,Beat 3/Northwest Forest,30
3,Johnny DuPree,Secretary of State,,D,Scott,Beat 3/Northwest Forest,20
3,Michael Watson,Secretary of State,,R,Scott,Beat 3/Northwest Forest,86
3,Jennifer Riley Collins,Attorney General,,D,Scott,Beat 3/Northwest Forest,16
3,Lynn Fitch,Attorney General,,R,Scott,Beat 3/Northwest Forest,89
3,Shad White,State Auditor,,R,Scott,Beat 3/Northwest Forest,99
6,Addie Lee Green,State Treasurer,,D,Scott,Beat 3/Northwest Forest,13
6,David McRae,State Treasurer,,R,Scott,Beat 3/Northwest Forest,93
