county,office,district,candidate,party,precinct,votes
Smith,Supervisor,1,Mike Bavido,Independent,Warren Hill,
Smith,Supervisor,1,Joseph (Jody) Blakeney,Independent,Warren Hill,
Smith,Supervisor,1,Donny Lowery,Independent,Warren Hill,
Smith,Supervisor,2,Eddie McMullan,Republican,Warren Hill,34
Smith,Supervisor,2,Dwight D Norris,Democrat,Warren Hill,197
Smith,Supervisor,2,Mike Ford,Independent,Warren Hill,61
Smith,Supervisor,3,Benjie Ford,Independent,Warren Hill,
Smith,Supervisor,4,Danny Avender,Democrat,Warren Hill,
Smith,Supervisor,4,Bob J Miles,Republican,Warren Hill,
Smith,Supervisor,5,Robert Hallman,Republican,Warren Hill,
Smith,Supervisor,5,Howard Hammons,Democrat,Warren Hill,
Smith,Justice Court Judge,1,David 'Red' Easterling,Democrat,Warren Hill,259
Smith,Justice Court Judge,1,Charles 'Chuck' Jones Jr,Republican,Warren Hill,33
Smith,Justice Court Judge,2,Larry Allen,Republican,Warren Hill,
Smith,Justice Court Judge,2,Hulon West,Democrat,Warren Hill,
Smith,Constable,1,Joe Robert Blakeney,Republican,Warren Hill,42
Smith,Constable,1,Carlie (Bobo) Bowen,Democrat,Warren Hill,248
Smith,Constable,2,Brad Boykin,Democrat,Warren Hill,
Smith,Constable,2,Bobby Easterling,Republican,Warren Hill,
Smith,Constable,2,William Logan Pruitt,Independent,Warren Hill,
Smith,Governor,,Jim Hood,Democrat,West Raleigh,84
Smith,Governor,,Tate Reeves,Repubilcan,West Raleigh,209
Smith,Governor,,Bob Hickingbottom,Constitution,West Raleigh,2
Smith,Governor,,David R. Singletary,Independent,West Raleigh,6
Smith,Lieutenant Governor,,Delbert Hoseman,Republican,West Raleigh,240
Smith,Lieutenant Governor,,Jay Hugues,Democrat,West Raleigh,55
Smith,Secretary of State,,Johny DuPree,Republican,West Raleigh,68
Smith,Secretary of State,,Michael Watson,Democrat,West Raleigh,224
Smith,Attorney General,,Jennifer Riley Collins,Democrat,West Raleigh,41
Smith,Attorney General,,Lynn Fitch,Republican,West Raleigh,253
Smith,State Auditor,,Shad White,Republican,West Raleigh,272
Smith,State Treasurer,,Ardle Lee Green,Democrat,West Raleigh,34
Smith,State Treasurer,,David McRae,Republican,West Raleigh,256
Smith,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,West Raleigh,33
Smith,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,West Raleigh,262
Smith,Commissioner of Insurance,,Robert E. Amos,Democrat,West Raleigh,36
Smith,Commissioner of Insurance,,Mike Chaney,Republican,West Raleigh,257
Smith,Public Service Commission,Southern,Dane Maxwell,Republican,West Raleigh,232
Smith,Public Service Commission,Southern,Connie Moran,Democrat,West Raleigh,55
Smith,Transportation Commissioner,Southern,Tom King,Republican,West Raleigh,267
Smith,District Attorney,13,Matt Sullivan,Democrat,West Raleigh,243
Smith,State Senate,41,Joey Fillingane,Republican,West Raleigh,271
Smith,State House,79,Mark K Tullos,Republican,West Raleigh,278
Smith,Chancery Clerk,,Cindy Austin,Democrat,West Raleigh,251
Smith,Circuit Clerk,,Earnest W Burton,Republican,West Raleigh,99
Smith,Circuit Clerk,,Anthony Grayson,Democrat,West Raleigh,204
Smith,Coroner,,Billy Allen,Democrat,West Raleigh,126
Smith,Coroner,,Sammy Houston,Republican,West Raleigh,175
Smith,Sheriff,,Joel Houston,Republic.an,West Raleigh,163
Smith,Sheriff,,Marty Peterson,Democrat,West Raleigh,137
Smith,Surveyor,,Landry Adcock,Republican,West Raleigh,269
Smith,Tax Assessor,,Mary Lou Powell,Democrat,West Raleigh,187
Smith,Tax Assessor,,Samuel (Sam) Yeager,Republican,West Raleigh,111
Smith,Supervisor,1,Jerry Fields,Republican,West Raleigh,
Smith,Supervisor,1,Sammy Hancock,Democrat,West Raleigh,
Smith,Supervisor,1,Mike Bavido,Independent,West Raleigh,
Smith,Supervisor,1,Joseph (Jody) Blakeney,Independent,West Raleigh,
Smith,Supervisor,1,Donny Lowery,Independent,West Raleigh,
Smith,Supervisor,2,Eddie McMullan,Republican,West Raleigh,
Smith,Supervisor,2,Dwight D Norris,Democrat,West Raleigh,
Smith,Supervisor,2,Mike Ford,Independent,West Raleigh,
Smith,Supervisor,3,Benjie Ford,Independent,West Raleigh,
Smith,Supervisor,4,Danny Avender,Democrat,West Raleigh,231
Smith,Supervisor,4,Bob J Miles,Republican,West Raleigh,71
Smith,Supervisor,5,Robert Hallman,Republican,West Raleigh,
Smith,Supervisor,5,Howard Hammons,Democrat,West Raleigh,
Smith,Justice Court Judge,1,David 'Red' Easterling,Democrat,West Raleigh,216
Smith,Justice Court Judge,1,Charles 'Chuck' Jones Jr,Republican,West Raleigh,83
Smith,Justice Court Judge,2,Larry Allen,Republican,West Raleigh,
Smith,Justice Court Judge,2,Hulon West,Democrat,West Raleigh,
Smith,Constable,1,Joe Robert Blakeney,Republican,West Raleigh,108
Smith,Constable,1,Carlie (Bobo) Bowen,Democrat,West Raleigh,191
Smith,Constable,2,Brad Boykin,Democrat,West Raleigh,
Smith,Constable,2,Bobby Easterling,Republican,West Raleigh,
Smith,Constable,2,William Logan Pruitt,Independent,West Raleigh,
Smith,Governor,,Jim Hood,Democrat,White Oak,57
Smith,Governor,,Tate Reeves,Repubilcan,White Oak,233
Smith,Governor,,Bob Hickingbottom,Constitution,White Oak,0
Smith,Governor,,David R. Singletary,Independent,White Oak,2
Smith,Lieutenant Governor,,Delbert Hoseman,Republican,White Oak,263
Smith,Lieutenant Governor,,Jay Hugues,Democrat,White Oak,29
Smith,Secretary of State,,Johny DuPree,Republican,White Oak,22
Smith,Secretary of State,,Michael Watson,Democrat,White Oak,266
Smith,Attorney General,,Jennifer Riley Collins,Democrat,White Oak,28
Smith,Attorney General,,Lynn Fitch,Republican,White Oak,265
Smith,State Auditor,,Shad White,Republican,White Oak,273
Smith,State Treasurer,,Ardle Lee Green,Democrat,White Oak,16
Smith,State Treasurer,,David McRae,Republican,White Oak,273
Smith,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,White Oak,13
Smith,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,White Oak,279
Smith,Commissioner of Insurance,,Robert E. Amos,Democrat,White Oak,14
Smith,Commissioner of Insurance,,Mike Chaney,Republican,White Oak,273
Smith,Public Service Commission,Southern,Dane Maxwell,Republican,White Oak,241
Smith,Public Service Commission,Southern,Connie Moran,Democrat,White Oak,42
Smith,Transportation Commissioner,Southern,Tom King,Republican,White Oak,269
Smith,District Attorney,13,Matt Sullivan,Democrat,White Oak,224
Smith,State Senate,41,Joey Fillingane,Republican,White Oak,270
Smith,State House,79,Mark K Tullos,Republican,White Oak,274
Smith,Chancery Clerk,,Cindy Austin,Democrat,White Oak,242
Smith,Circuit Clerk,,Earnest W Burton,Republican,White Oak,151
Smith,Circuit Clerk,,Anthony Grayson,Democrat,White Oak,140
Smith,Coroner,,Billy Allen,Democrat,White Oak,86
Smith,Coroner,,Sammy Houston,Republican,White Oak,205
Smith,Sheriff,,Joel Houston,Republic.an,White Oak,156
Smith,Sheriff,,Marty Peterson,Democrat,White Oak,139
Smith,Surveyor,,Landry Adcock,Republican,White Oak,278
Smith,Tax Assessor,,Mary Lou Powell,Democrat,White Oak,220
Smith,Tax Assessor,,Samuel (Sam) Yeager,Republican,White Oak,73
Smith,Supervisor,1,Jerry Fields,Republican,White Oak,
Smith,Supervisor,1,Sammy Hancock,Democrat,White Oak,
Smith,Supervisor,1,Mike Bavido,Independent,White Oak,
Smith,Supervisor,1,Joseph (Jody) Blakeney,Independent,White Oak,
Smith,Supervisor,1,Donny Lowery,Independent,White Oak,
Smith,Supervisor,2,Eddie McMullan,Republican,White Oak,
Smith,Supervisor,2,Dwight D Norris,Democrat,White Oak,
Smith,Supervisor,2,Mike Ford,Independent,White Oak,
Smith,Supervisor,3,Benjie Ford,Independent,White Oak,
Smith,Supervisor,4,Danny Avender,Democrat,White Oak,182
Smith,Supervisor,4,Bob J Miles,Republican,White Oak,112
Smith,Supervisor,5,Robert Hallman,Republican,White Oak,
Smith,Supervisor,5,Howard Hammons,Democrat,White Oak,
Smith,Justice Court Judge,1,David 'Red' Easterling,Democrat,White Oak,140
Smith,Justice Court Judge,1,Charles 'Chuck' Jones Jr,Republican,White Oak,146
Smith,Justice Court Judge,2,Larry Allen,Republican,White Oak,
Smith,Justice Court Judge,2,Hulon West,Democrat,White Oak,
Smith,Constable,1,Joe Robert Blakeney,Republican,White Oak,153
Smith,Constable,1,Carlie (Bobo) Bowen,Democrat,White Oak,132
Smith,Constable,2,Brad Boykin,Democrat,White Oak,
Smith,Constable,2,Bobby Easterling,Republican,White Oak,
Smith,Constable,2,William Logan Pruitt,Independent,White Oak,
Smith,Governor,,Jim Hood,Democrat,Zion Hill-New Haven,171
Smith,Governor,,Tate Reeves,Repubilcan,Zion Hill-New Haven,352
Smith,Governor,,Bob Hickingbottom,Constitution,Zion Hill-New Haven,0
Smith,Governor,,David R. Singletary,Independent,Zion Hill-New Haven,7
Smith,Lieutenant Governor,,Delbert Hoseman,Republican,Zion Hill-New Haven,424
Smith,Lieutenant Governor,,Jay Hugues,Democrat,Zion Hill-New Haven,115
Smith,Secretary of State,,Johny DuPree,Republican,Zion Hill-New Haven,131
Smith,Secretary of State,,Michael Watson,Democrat,Zion Hill-New Haven,402
Smith,Attorney General,,Jennifer Riley Collins,Democrat,Zion Hill-New Haven,121
Smith,Attorney General,,Lynn Fitch,Republican,Zion Hill-New Haven,413
Smith,State Auditor,,Shad White,Republican,Zion Hill-New Haven,472
Smith,State Treasurer,,Ardle Lee Green,Democrat,Zion Hill-New Haven,106
Smith,State Treasurer,,David McRae,Republican,Zion Hill-New Haven,431
Smith,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,Zion Hill-New Haven,108
Smith,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,Zion Hill-New Haven,431
Smith,Commissioner of Insurance,,Robert E. Amos,Democrat,Zion Hill-New Haven,97
Smith,Commissioner of Insurance,,Mike Chaney,Republican,Zion Hill-New Haven,436
Smith,Public Service Commission,Southern,Dane Maxwell,Republican,Zion Hill-New Haven,402
Smith,Public Service Commission,Southern,Connie Moran,Democrat,Zion Hill-New Haven,127
Smith,Transportation Commissioner,Southern,Tom King,Republican,Zion Hill-New Haven,474
Smith,District Attorney,13,Matt Sullivan,Democrat,Zion Hill-New Haven,476
Smith,State Senate,41,Joey Fillingane,Republican,Zion Hill-New Haven,471
Smith,State House,79,Mark K Tullos,Republican,Zion Hill-New Haven,478
Smith,Chancery Clerk,,Cindy Austin,Democrat,Zion Hill-New Haven,461
Smith,Circuit Clerk,,Earnest W Burton,Republican,Zion Hill-New Haven,264
Smith,Circuit Clerk,,Anthony Grayson,Democrat,Zion Hill-New Haven,267
Smith,Coroner,,Billy Allen,Democrat,Zion Hill-New Haven,187
Smith,Coroner,,Sammy Houston,Republican,Zion Hill-New Haven,348
Smith,Sheriff,,Joel Houston,Republic.an,Zion Hill-New Haven,302
Smith,Sheriff,,Marty Peterson,Democrat,Zion Hill-New Haven,233
Smith,Surveyor,,Landry Adcock,Republican,Zion Hill-New Haven,461
Smith,Tax Assessor,,Mary Lou Powell,Democrat,Zion Hill-New Haven,243
Smith,Tax Assessor,,Samuel (Sam) Yeager,Republican,Zion Hill-New Haven,290
Smith,Supervisor,1,Jerry Fields,Republican,Zion Hill-New Haven,
Smith,Supervisor,1,Sammy Hancock,Democrat,Zion Hill-New Haven,
Smith,Supervisor,1,Mike Bavido,Independent,Zion Hill-New Haven,
Smith,Supervisor,1,Joseph (Jody) Blakeney,Independent,Zion Hill-New Haven,
Smith,Supervisor,1,Donny Lowery,Independent,Zion Hill-New Haven,
Smith,Supervisor,2,Eddie McMullan,Republican,Zion Hill-New Haven,
Smith,Supervisor,2,Dwight D Norris,Democrat,Zion Hill-New Haven,
Smith,Supervisor,2,Mike Ford,Independent,Zion Hill-New Haven,
Smith,Supervisor,3,Benjie Ford,Independent,Zion Hill-New Haven,498
Smith,Supervisor,4,Danny Avender,Democrat,Zion Hill-New Haven,
Smith,Supervisor,4,Bob J Miles,Republican,Zion Hill-New Haven,
Smith,Supervisor,5,Robert Hallman,Republican,Zion Hill-New Haven,
Smith,Supervisor,5,Howard Hammons,Democrat,Zion Hill-New Haven,
Smith,Justice Court Judge,1,David 'Red' Easterling,Democrat,Zion Hill-New Haven,
Smith,Justice Court Judge,1,Charles 'Chuck' Jones Jr,Republican,Zion Hill-New Haven,
Smith,Justice Court Judge,2,Larry Allen,Republican,Zion Hill-New Haven,253
Smith,Justice Court Judge,2,Hulon West,Democrat,Zion Hill-New Haven,281
Smith,Constable,1,Joe Robert Blakeney,Republican,Zion Hill-New Haven,
Smith,Constable,1,Carlie (Bobo) Bowen,Democrat,Zion Hill-New Haven,
Smith,Constable,2,Brad Boykin,Democrat,Zion Hill-New Haven,101
Smith,Constable,2,Bobby Easterling,Republican,Zion Hill-New Haven,269
Smith,Constable,2,William Logan Pruitt,Independent,Zion Hill-New Haven,163
Smith,Governor,,Jim Hood,Democrat,TOTAL,2158
Smith,Governor,,Tate Reeves,Repubilcan,TOTAL,4250
Smith,Governor,,Bob Hickingbottom,Constitution,TOTAL,22
Smith,Governor,,David R. Singletary,Independent,TOTAL,74
Smith,Lieutenant Governor,,Delbert Hoseman,Republican,TOTAL,4856
Smith,Lieutenant Governor,,Jay Hugues,Democrat,TOTAL,1592
Smith,Secretary of State,,Johny DuPree,Republican,TOTAL,1704
Smith,Secretary of State,,Michael Watson,Democrat,TOTAL,4694
Smith,Attorney General,,Jennifer Riley Collins,Democrat,TOTAL,1559
Smith,Attorney General,,Lynn Fitch,Republican,TOTAL,4906
Smith,State Auditor,,Shad White,Republican,TOTAL,5611
Smith,State Treasurer,,Ardle Lee Green,Democrat,TOTAL,1379
Smith,State Treasurer,,David McRae,Republican,TOTAL,5046
Smith,Commissioner of Agriculture & Commerce,,Rickey L Cole,Democrat,TOTAL,1415
Smith,Commissioner of Agriculture & Commerce,,Andy Gipson,Republican,TOTAL,5028
Smith,Commissioner of Insurance,,Robert E. Amos,Democrat,TOTAL,1361
Smith,Commissioner of Insurance,,Mike Chaney,Republican,TOTAL,5072
Smith,Public Service Commission,Southern,Dane Maxwell,Republican,TOTAL,4625
Smith,Public Service Commission,Southern,Connie Moran,Democrat,TOTAL,1732
Smith,Transportation Commissioner,Southern,Tom King,Republican,TOTAL,5364
Smith,District Attorney,13,Matt Sullivan,Democrat,TOTAL,5578
Smith,State Senate,41,Joey Fillingane,Republican,TOTAL,5646
Smith,State House,79,Mark K Tullos,Republican,TOTAL,5756
Smith,Chancery Clerk,,Cindy Austin,Democrat,TOTAL,5643
Smith,Circuit Clerk,,Earnest W Burton,Republican,TOTAL,2979
Smith,Circuit Clerk,,Anthony Grayson,Democrat,TOTAL,3533
Smith,Coroner,,Billy Allen,Democrat,TOTAL,2363
Smith,Coroner,,Sammy Houston,Republican,TOTAL,4119
Smith,Sheriff,,Joel Houston,Republic.an,TOTAL,3905
Smith,Sheriff,,Marty Peterson,Democrat,TOTAL,2608
Smith,Surveyor,,Landry Adcock,Republican,TOTAL,5597
Smith,Tax Assessor,,Mary Lou Powell,Democrat,TOTAL,3353
Smith,Tax Assessor,,Samuel (Sam) Yeager,Republican,TOTAL,3173
Smith,Supervisor,1,Jerry Fields,Republican,TOTAL,795
Smith,Supervisor,1,Sammy Hancock,Democrat,TOTAL,69
Smith,Supervisor,1,Mike Bavido,Independent,TOTAL,116
Smith,Supervisor,1,Joseph (Jody) Blakeney,Independent,TOTAL,201
Smith,Supervisor,1,Donny Lowery,Independent,TOTAL,318
Smith,Supervisor,2,Eddie McMullan,Republican,TOTAL,240
Smith,Supervisor,2,Dwight D Norris,Democrat,TOTAL,684
Smith,Supervisor,2,Mike Ford,Independent,TOTAL,379
Smith,Supervisor,3,Benjie Ford,Independent,TOTAL,1089
Smith,Supervisor,4,Danny Avender,Democrat,TOTAL,714
Smith,Supervisor,4,Bob J Miles,Republican,TOTAL,566
Smith,Supervisor,5,Robert Hallman,Republican,TOTAL,516
Smith,Supervisor,5,Howard Hammons,Democrat,TOTAL,752
Smith,Justice Court Judge,1,David 'Red' Easterling,Democrat,TOTAL,2101
Smith,Justice Court Judge,1,Charles 'Chuck' Jones Jr,Republican,TOTAL,1227
Smith,Justice Court Judge,2,Larry Allen,Republican,TOTAL,1334
Smith,Justice Court Judge,2,Hulon West,Democrat,TOTAL,1829
Smith,Constable,1,Joe Robert Blakeney,Republican,TOTAL,1675
Smith,Constable,1,Carlie (Bobo) Bowen,Democrat,TOTAL,1628
Smith,Constable,2,Brad Boykin,Democrat,TOTAL,891
Smith,Constable,2,Bobby Easterling,Republican,TOTAL,1691
Smith,Constable,2,William Logan Pruitt,Independent,TOTAL,577
