candidate,office,district,party,county,precinct,votes
Robert Foster,Governor,,R,Wilkinson,Woodville 2nd 2010,1
Tate Reeves,Governor,,R,Wilkinson,Woodville 2nd 2010,0
Bill Waller Jr.,Governor,,R,Wilkinson,Woodville 2nd 2010,0
Delbert Hosemann,Lieutenant Governor,,R,Wilkinson,Woodville 2nd 2010,1
Shane Quick,Lieutenant Governor,,R,Wilkinson,Woodville 2nd 2010,0
Sam Britton,Secretary of State,,R,Wilkinson,Woodville 2nd 2010,1
Michael Watson,Secretary of State,,R,Wilkinson,Woodville 2nd 2010,0
Mark Baker,Attorney General,,R,Wilkinson,Woodville 2nd 2010,1
Lynn Fitch,Attorney General,,R,Wilkinson,Woodville 2nd 2010,0
Andy Taggart,Attorney General,,R,Wilkinson,Woodville 2nd 2010,0
Shad White,State Auditor,,R,Wilkinson,Woodville 2nd 2010,1
Eugene S. 'Buck' Clarke,State Treasurer,,R,Wilkinson,Woodville 2nd 2010,0
David McRae,State Treasurer,,R,Wilkinson,Woodville 2nd 2010,1
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Wilkinson,Woodville 2nd 2010,1
Mike Chaney,Commissioner of Insurance,,R,Wilkinson,Woodville 2nd 2010,1
Michael Brown,Governor,,D,Wilkinson,Woodville 2nd 2010,136
William Bond Compton Jr.,Governor,,D,Wilkinson,Woodville 2nd 2010,10
Jim Hood,Governor,,D,Wilkinson,Woodville 2nd 2010,148
Robert J. Ray,Governor,,D,Wilkinson,Woodville 2nd 2010,16
Robert Shuler Smith,Governor,,D,Wilkinson,Woodville 2nd 2010,36
Gregory Wash,Governor,,D,Wilkinson,Woodville 2nd 2010,9
Velesha P Williams,Governor,,D,Wilkinson,Woodville 2nd 2010,43
Albert Wilson,Governor,,D,Wilkinson,Woodville 2nd 2010,3
Jay Hughes,Lieutenant Governor,,D,Wilkinson,Woodville 2nd 2010,330
Johnny DuPree,Secretary of State,,D,Wilkinson,Woodville 2nd 2010,246
Maryra Hodges Hunt,Secretary of State,,D,Wilkinson,Woodville 2nd 2010,126
Jennifer Riley Collins,Attorney General,,D,Wilkinson,Woodville 2nd 2010,326
Addie Lee Green,State Treasurer,,D,Wilkinson,Woodville 2nd 2010,324
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Wilkinson,Woodville 2nd 2010,322
Robert E. Amos,Commissioner of Insurance,,D,Wilkinson,Woodville 2nd 2010,321
Kelvin E Butler,State Senate,38,D,Wilkinson,Woodville 2nd 2010,164
Tammy Witherspoon,State Senate,38,D,Wilkinson,Woodville 2nd 2010,234
Aisha A Sanders,State House,96,D,Wilkinson,Woodville 2nd 2010,329
Robert Foster,Governor,,R,Wilkinson,TOTAL,19
Tate Reeves,Governor,,R,Wilkinson,TOTAL,48
