candidate,office,district,party,county,precinct,votes
Jennifer Riley Collins,Attorney General,,D,Yazoo,Midway,166
Lynn Fitch,Attorney General,,R,Yazoo,Midway,197
Shad White,State Auditor,,R,Yazoo,Midway,230
Addie Lee Green,State Treasurer,,D,Yazoo,Midway,158
David McRae,State Treasurer,,R,Yazoo,Midway,197
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Yazoo,Midway,160
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Yazoo,Midway,192
Barbara Blackmon,State Senate,21,D,Yazoo,Midway,252
Hayes Dent,State Senate,22,R,Yazoo,Midway,
Joseph C Thomas Sr.,State Senate,22,D,Yazoo,Midway,
Briggs Hopson,State Senate,23,R,Yazoo,Midway,
Kenneth Walker,State House,27,D,Yazoo,Midway,152
Bryant Clark,State House,47,D,Yazoo,Midway,98
Rufus E Straughter,State House,51,D,Yazoo,Midway,
Kevin Ford,State House,54,R,Yazoo,Midway,
Stephanie McKenzie Foster,State House,63,D,Yazoo,Midway,
Jim Hood,Governor,,D,Yazoo,Mound St. Building,231
Tate Reeves,Governor,,R,Yazoo,Mound St. Building,6
Bob Hickingbottom,Governor,,C,Yazoo,Mound St. Building,1
David R Singletary,Governor,,IND,Yazoo,Mound St. Building,1
Delbert Hosemann,Lieutenant Governor,,R,Yazoo,Mound St. Building,32
Jay Hughes,Lieutenant Governor,,D,Yazoo,Mound St. Building,195
Johnny DuPree,Secretary of State,,D,Yazoo,Mound St. Building,208
Michael Watson,Secretary of State,,R,Yazoo,Mound St. Building,15
Jennifer Riley Collins,Attorney General,,D,Yazoo,Mound St. Building,223
Lynn Fitch,Attorney General,,R,Yazoo,Mound St. Building,12
Shad White,State Auditor,,R,Yazoo,Mound St. Building,79
Addie Lee Green,State Treasurer,,D,Yazoo,Mound St. Building,213
David McRae,State Treasurer,,R,Yazoo,Mound St. Building,12
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Yazoo,Mound St. Building,212
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Yazoo,Mound St. Building,9
Barbara Blackmon,State Senate,21,D,Yazoo,Mound St. Building,
Hayes Dent,State Senate,22,R,Yazoo,Mound St. Building,10
Joseph C Thomas Sr.,State Senate,22,D,Yazoo,Mound St. Building,227
Briggs Hopson,State Senate,23,R,Yazoo,Mound St. Building,
Kenneth Walker,State House,27,D,Yazoo,Mound St. Building,
Bryant Clark,State House,47,D,Yazoo,Mound St. Building,
Rufus E Straughter,State House,51,D,Yazoo,Mound St. Building,224
Kevin Ford,State House,54,R,Yazoo,Mound St. Building,
Stephanie McKenzie Foster,State House,63,D,Yazoo,Mound St. Building,
Jim Hood,Governor,,D,Yazoo,N D Taylor Gym,984
Tate Reeves,Governor,,R,Yazoo,N D Taylor Gym,37
Bob Hickingbottom,Governor,,C,Yazoo,N D Taylor Gym,3
David R Singletary,Governor,,IND,Yazoo,N D Taylor Gym,9
Delbert Hosemann,Lieutenant Governor,,R,Yazoo,N D Taylor Gym,111
Jay Hughes,Lieutenant Governor,,D,Yazoo,N D Taylor Gym,856
Johnny DuPree,Secretary of State,,D,Yazoo,N D Taylor Gym,891
Michael Watson,Secretary of State,,R,Yazoo,N D Taylor Gym,66
Jennifer Riley Collins,Attorney General,,D,Yazoo,N D Taylor Gym,950
Lynn Fitch,Attorney General,,R,Yazoo,N D Taylor Gym,45
Shad White,State Auditor,,R,Yazoo,N D Taylor Gym,371
Addie Lee Green,State Treasurer,,D,Yazoo,N D Taylor Gym,893
David McRae,State Treasurer,,R,Yazoo,N D Taylor Gym,78
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Yazoo,N D Taylor Gym,898
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Yazoo,N D Taylor Gym,53
Barbara Blackmon,State Senate,21,D,Yazoo,N D Taylor Gym,
Hayes Dent,State Senate,22,R,Yazoo,N D Taylor Gym,51
Joseph C Thomas Sr.,State Senate,22,D,Yazoo,N D Taylor Gym,973
Briggs Hopson,State Senate,23,R,Yazoo,N D Taylor Gym,
Kenneth Walker,State House,27,D,Yazoo,N D Taylor Gym,
Bryant Clark,State House,47,D,Yazoo,N D Taylor Gym,166
Rufus E Straughter,State House,51,D,Yazoo,N D Taylor Gym,768
Kevin Ford,State House,54,R,Yazoo,N D Taylor Gym,
Stephanie McKenzie Foster,State House,63,D,Yazoo,N D Taylor Gym,
Jim Hood,Governor,,D,Yazoo,Old Jr High,383
Tate Reeves,Governor,,R,Yazoo,Old Jr High,44
Bob Hickingbottom,Governor,,C,Yazoo,Old Jr High,0
David R Singletary,Governor,,IND,Yazoo,Old Jr High,4
Delbert Hosemann,Lieutenant Governor,,R,Yazoo,Old Jr High,88
Jay Hughes,Lieutenant Governor,,D,Yazoo,Old Jr High,321
Johnny DuPree,Secretary of State,,D,Yazoo,Old Jr High,349
Michael Watson,Secretary of State,,R,Yazoo,Old Jr High,59
Jennifer Riley Collins,Attorney General,,D,Yazoo,Old Jr High,360
Lynn Fitch,Attorney General,,R,Yazoo,Old Jr High,57
Shad White,State Auditor,,R,Yazoo,Old Jr High,177
Addie Lee Green,State Treasurer,,D,Yazoo,Old Jr High,341
David McRae,State Treasurer,,R,Yazoo,Old Jr High,69
Rickey L Cole,Commissioner of Agriculture & Commerce,,D,Yazoo,Old Jr High,349
Andy Gipson,Commissioner of Agriculture & Commerce,,R,Yazoo,Old Jr High,60
Barbara Blackmon,State Senate,21,D,Yazoo,Old Jr High,
Hayes Dent,State Senate,22,R,Yazoo,Old Jr High,56
Joseph C Thomas Sr.,State Senate,22,D,Yazoo,Old Jr High,374
Briggs Hopson,State Senate,23,R,Yazoo,Old Jr High,
Kenneth Walker,State House,27,D,Yazoo,Old Jr High,
Bryant Clark,State House,47,D,Yazoo,Old Jr High,
Rufus E Straughter,State House,51,D,Yazoo,Old Jr High,387
Kevin Ford,State House,54,R,Yazoo,Old Jr High,
Stephanie McKenzie Foster,State House,63,D,Yazoo,Old Jr High,
Jim Hood,Governor,,D,Yazoo,Satartia,16
Tate Reeves,Governor,,R,Yazoo,Satartia,30
Bob Hickingbottom,Governor,,C,Yazoo,Satartia,0
David R Singletary,Governor,,IND,Yazoo,Satartia,0
